instance_idx,instance,epsilon,runtime
0,[0. 0. 0.],0.399,67.54103398323059
1,[1. 0. 0.],0.105,63.056199073791504
2,[1.         0.83320849 0.        ],0,0
3,[0.         0.96685035 0.50589622],0.061,62.774789810180664
4,[1.         0.         0.52473462],0.105,61.558011054992676
5,[0.94449075 0.26812817 1.        ],0,0
6,[1.         0.03369573 0.        ],0,0
7,[0.58764948 1.         0.38676753],0,0
8,[0.21561818 0.44822967 0.00390827],0,0
9,[0.22145072 0.46506029 0.51136517],0,0
10,[0.23449968 0.24413016 0.21018695],0,0
11,[0.49394786 0.30700355 0.        ],0,0
12,[0.92686869 0.59159313 0.6720258 ],0,0
13,[0.18046318 1.         0.90763594],0,0
14,[0.10599542 0.33378096 0.75774963],0,0
15,[0.78210967 0.9433555  0.43367129],0,0
16,[0.91822998 0.67465096 0.30513597],0,0
17,[0.64052909 0.88887292 0.89275242],0,0
18,[0.54626879 0.59256267 0.01411171],0,0
19,[0.24555883 0.80297677 0.42523531],0,0
20,[0.1656892  0.55197101 0.73778424],0,0
21,[0.74006777 0.37619438 0.45191656],0,0
22,[0.54986831 0.78383207 0.54065706],0,0
23,[0.4179544  0.49229511 0.00875235],0.005,59.15549159049988
24,[0.0173407  0.70804683 1.        ],0,0
25,[0.64694675 0.39527349 0.15478819],0,0
26,[0.54278084 0.98943217 0.77886553],0,0
27,[0.58559351 0.86646946 0.21907753],0,0
28,[0.55599051 0.95953704 0.57846132],0,0
29,[0.49340755 0.26975297 0.54747602],0,0
30,[1.         0.00363786 0.79252064],0,0
31,[0.85289087 0.89260923 0.7476502 ],0,0
32,[0.84067469 0.52155972 0.56136974],0,0
33,[0.42824781 0.05453878 0.88231486],0,0
34,[0.58319342 0.19964248 0.50247662],0,0
35,[0.4915945  0.35810837 0.33751574],0,0
36,[0.54925544 0.62738284 0.6144993 ],0,0
37,[0.46276245 0.02611869 0.21640403],0,0
38,[0.16028077 0.58797743 0.87295507],0,0
39,[0.82915302 0.80266713 0.82660841],0,0
40,[0.24435205 0.84774546 0.67757634],0,0
41,[0.05909615 0.01472539 0.        ],0,0
42,[0.78301435 0.24984232 0.09800324],0,0
43,[0.64219923 0.34562187 0.05673532],0,0
44,[0.14134632 0.53034585 0.15855934],0,0
