instance_idx,instance,epsilon,runtime
7022,"[0.41019708 0.99335788 0.97062297 0.36516352 0.80071439 0.47967127
 0.85963984 0.95119658 0.55064857 0.63754164]",0.14300000000000002,56.352893352508545
7023,"[0.04204323 0.72210671 0.95095537 0.1687838  0.24910644 0.07516075
 0.48053581 0.90196441 0.09303003 0.96883884]",0.199,62.08951425552368
7024,"[0.92250364 0.95142052 0.77568585 0.66183314 0.53994559 0.47197534
 0.52448347 0.48403615 0.91968556 0.51939459]",0.135,58.5426971912384
7025,"[0.80143877 0.80556577 0.56738395 0.79720355 0.17368114 0.81743415
 0.47388945 0.66653302 0.39230184 0.30041706]",0.041,56.361425161361694
7026,"[0.54190198 0.50655841 0.47100738 0.01938614 0.07858089 0.04132745
 0.52707105 0.31221946 0.68477474 0.15006299]",0.153,302.41254138946533
7027,"[0.65608357 0.00362645 0.7231585  0.48909837 0.29755745 0.94711544
 0.06682324 0.27542678 0.49828922 0.13748908]",0.019000000000000003,47.42515230178833
7028,"[0.26906014 0.41505242 0.87444615 0.31953797 0.73972145 0.77991894
 0.35551172 0.40575378 0.68054594 0.44731648]",0,52.30727291107178
7029,"[0.72131059 0.05540216 0.53455379 0.76700215 0.29235465 0.54285292
 0.93885122 0.18863931 0.01339683 0.96759533]",0,51.09036040306091
7030,"[0.68879448 0.21616739 0.53490871 0.64426413 0.42624466 0.79562096
 0.86442862 0.33557298 0.97782325 0.15352916]",0.199,59.65088105201721
7031,"[0.66365977 0.34224074 0.70369481 0.6209608  0.4603034  0.09565378
 0.04428481 0.10685745 0.43228547 0.60930441]",0.153,292.57758259773254
7032,"[0.61742517 0.35039756 0.57145728 0.04622017 0.84838577 0.15473741
 0.72382258 0.35283163 0.23827493 0.70503197]",0.019000000000000003,47.50223183631897
7033,"[0.2686525  0.64744522 0.19770415 0.47661722 0.34046585 0.16152534
 0.90949119 0.34367101 0.96466652 0.63163281]",0.005,53.1481876373291
7034,"[0.42935631 0.2110126  0.60435801 0.44363175 0.28242241 0.16487368
 0.01939727 0.78755807 0.33424686 0.93632015]",0.199,61.211129665374756
7035,"[0.96317221 0.9147403  0.29902672 0.81070269 0.82672585 0.58282389
 0.15845132 0.13028605 0.60129013 0.51713147]",0.075,47.63408613204956
7036,"[0.6531353  0.95246967 0.96784632 0.91493374 0.72761724 0.23563444
 0.92400427 0.43424327 0.78940373 0.48001646]",0.189,58.662761926651
7037,"[0.30571661 0.62966458 0.34260785 0.30430066 0.89673573 0.51889203
 0.16479092 0.97448625 0.37639175 0.47655293]",0.059000000000000004,57.37061071395874
7038,"[0.30738519 0.89432713 0.86654899 0.64758945 0.83491783 0.61338334
 0.57135436 0.7628992  0.22639442 0.92809578]",0.057,49.05737090110779
7039,"[0.47090031 0.86414399 0.96100876 0.62648422 0.72099499 0.56762415
 0.00948377 0.06581552 0.69900172 0.48292922]",0,50.962796449661255
7040,"[0.40551756 0.69452283 0.96900549 0.83328938 0.12589075 0.26169906
 0.15378972 0.03305296 0.41259139 0.59959535]",0.197,90.90420532226562
7041,"[0.26843008 0.8301842  0.9745424  0.91237081 0.67876991 0.14830848
 0.24172681 0.94422273 0.11364889 0.46011482]",0.127,469.75303387641907
7042,"[0.25862466 0.96000161 0.32825882 0.57157788 0.78795951 0.87880201
 0.63413441 0.52170336 0.12587372 0.61037643]",0.055,56.831645011901855
7043,"[0.9850524  0.27289738 0.80112735 0.16358391 0.57520856 0.63737146
 0.83406411 0.96282718 0.64738072 0.32304193]",0.199,59.34573841094971
7044,"[0.78751663 0.79725037 0.08241998 0.35291169 0.86304459 0.01987909
 0.16881073 0.43127621 0.91277574 0.74175386]",0,52.45439863204956
7045,"[0.01059777 0.71970291 0.14324954 0.56276762 0.57464936 0.70317101
 0.63615496 0.43232396 0.84242687 0.40657923]",0,50.733985900878906
7046,"[0.4516101  0.48889052 0.84203469 0.7056649  0.31809889 0.65865872
 0.05249749 0.92107693 0.17603611 0.2485843 ]",0.11900000000000001,254.11892199516296
