instance_idx,instance,epsilon,runtime
2090,[0.61488599 0.36331331 0.43615749],0.085,67.60663795471191
2091,[0.49699687 0.84739914 0.78747873],0.269,59.53681015968323
2092,[0.8404634  0.5358437  0.28745302],0.28300000000000003,68.54226565361023
2093,[0.04752711 0.99631921 0.40217797],0.189,68.93827986717224
2094,[0.22590133 0.74293451 0.09196473],0.079,67.03215408325195
2095,[0.84427021 0.09466488 0.33695846],0.065,65.57837390899658
2096,[0.06726769 0.80124252 0.47545293],0.031,56.22706341743469
2097,[0.20975274 0.79570761 0.65180308],0.101,55.648279428482056
2098,[0.30187072 0.80418408 0.43307541],0.149,68.92542457580566
2099,[0.53999746 0.20002697 0.4024517 ],0.031,56.035115242004395
2100,[0.6250231  0.4532236  0.76376035],0.137,58.269097566604614
2101,[0.18061123 0.01852105 0.70362192],0.297,69.1523916721344
2102,[0.86279517 0.57686026 0.21301578],0.313,58.6745924949646
2103,[0.96221337 0.74225437 0.46747618],0.399,72.0297429561615
2104,[0.93725648 0.53272846 0.61467136],0.331,59.629409074783325
2105,[0.76919424 0.43371601 0.56634311],0.199,70.48928546905518
2106,[0.6268179  0.52227685 0.36440779],0.169,60.04614543914795
2107,[0.14775045 0.15041382 0.68558855],0.249,69.22558212280273
2108,[0.30029921 0.4353806  0.31876515],0.033,65.32629919052124
2109,[0.83029617 0.0643534  0.20361666],0.043000000000000003,65.42516016960144
2110,[0.41247424 0.82377155 0.64630637],0.215,65.75419211387634
2111,[0.25646535 0.60125357 0.40601833],0.025,54.56061315536499
2112,[0.11356158 0.19186455 0.24566471],0.247,67.94644784927368
2113,[0.82731029 0.46415663 0.56004877],0.241,68.769202709198
2114,[0.43617138 0.64695147 0.03698516],0.135,67.33415961265564
2115,[0.15936653 0.1363693  0.25848089],0.253,64.92478036880493
2116,[0.80361704 0.65870222 0.17603106],0.325,58.32260584831238
2117,[0.85260526 0.96387264 0.48603143],0.399,71.18341016769409
2118,[0.01990145 0.85965123 0.08393271],0.049,67.42553925514221
2119,[0.6016564  0.86724036 0.90095658],0.333,68.6215329170227
2120,[0.40704212 0.36341327 0.6576996 ],0.013000000000000001,54.01932334899902
2121,[0.09030674 0.94324423 0.72453441],0.14100000000000001,68.27256894111633
2122,[0.14056612 0.11186668 0.73478512],0.271,68.31698274612427
2123,[0.93302853 0.52196477 0.8293301 ],0.325,58.8374662399292
2124,[0.94976943 0.93163565 0.25188905],0.399,71.1288435459137
2125,[0.88465263 0.2380336  0.12229778],0.155,65.92991733551025
2126,[0.80676645 0.32925887 0.58456133],0.165,67.3027880191803
